date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:24:53,RS1070090,107,Senate,90,2001-05-03,,93,7,To improve the provisions relating to certain assessments.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,15.581415334775055,-8.92324391015223,0.568,-0.073,0.361,-0.134,0.286,0.95,-13.249547
2017-01-15 03:24:53,RS1070091,107,Senate,91,2001-05-03,,79,21,To increase the authorization of appropriations for local educational agency grants.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,7.464411721567309,-3.267805569211183,0.441,0.024,0.302,-0.234,0.476,0.89,-24.279567
2017-01-15 03:24:53,RS1070092,107,Senate,92,2001-05-08,,58,43,"John Robert Bolton, of Maryland, to be Under Secretary of State for Arms Control and International Security",Arms Control,,Foreign Policy Resolutions,,Foreign and Defense Policy,14.032542978032739,2.1181892118472083,-0.098,0.743,-0.74,0.305,0.907,0.96,-9.808198
2017-01-15 03:24:53,RS1070093,107,Senate,93,2001-05-08,,27,73,To tie funding under the Elementary and Secondary Education Act of 1965 to improved student performance.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,23.478999878222247,-8.668876955794676,0.363,-0.146,-0.341,0.084,0.556,0.88,-22.184366
2017-01-15 03:24:53,RS1070094,107,Senate,94,2001-05-08,,69,31,"To express the sense of the Senate regarding, and to authorize appropriations for, title II, part A of the Elementary and Secondary Education Act of 1965, with respect to the development of high-qualified teachers.",Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,7.7648344244952705,-2.667984366630411,0.336,-0.059,0.243,-0.181,0.548,0.86,-27.043442
2017-01-15 03:24:53,RS1070095,107,Senate,95,2001-05-08,,95,3,To provide a sense of the Senate regarding tax relief for elementary and secondary level educators.,Education,Tax rates,Domestic Social Policy,Budget Special Interest,Social Welfare,0.3763984340203762,-0.9947304219237147,-0.014,-1.0,0.041,-0.63,-0.333,0.959,-13.870392
2017-01-15 03:24:53,RS1070096,107,Senate,96,2001-05-09,,50,49,To provide for the establishment of community technology centers.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,4.170237307208662,-0.5254284768650395,0.12,-0.025,0.641,-0.889,0.98,0.99,-3.992359
2017-01-15 03:24:53,RS1070097,107,Senate,97,2001-05-09,,98,1,To provide for teacher liability protection.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:24:53,RS1070098,107,Senate,98,2001-05-10,,54,47,"A concurrent resolution establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels fr each of fiscal years 2003 through 2011.",Budget resolution ,Tax rates,Budget General Interest,,Government Management,-6.887748884470086,-0.6347851484867778,-0.091,-0.008,-0.68,-0.571,0.936,0.97,-8.451604
2017-01-15 03:24:53,RS1070099,107,Senate,99,2001-05-10,,50,47,To modify provisions relating to State assessments.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,4.339489944803499,-0.5356279743699569,0.102,-0.093,0.628,-0.837,0.936,0.969,-4.535078
2017-01-15 03:24:53,RS1070100,107,Senate,100,2001-05-10,,62,34,"To express the sense of the Senate regarding, and authorize appropriations for, part A and part D of title III of the Elementary and Secondary Education Act of 1965.",Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,-7.7026933665381465,1.8423480650214275,0.352,-0.869,0.289,0.217,0.735,0.906,-21.802167
2017-01-15 03:24:53,RS1070101,107,Senate,101,2001-05-14,,96,0,To provide assistance to entities that emphasize language and life skills programs for limited English proficient students.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:24:53,RS1070102,107,Senate,102,2001-05-14,,74,23,To provide for school safety.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,5.288581964194429,-2.277681220143244,0.387,-0.231,0.235,-0.257,0.304,0.835,-28.368692
2017-01-15 03:24:53,RS1070103,107,Senate,103,2001-05-15,,48,51,To provide for class reduction programs.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,4.635298492743667,-0.12996447837732933,-0.052,-0.371,0.666,-0.831,1.0,1.0,-0.518092
2017-01-15 03:24:53,RS1070104,107,Senate,104,2001-05-15,,61,36,"To express the sense of the Senate that S.27, the Bipartisan Campaign Reform Act of 2001, as passed by the Senate on April 2d should be engrossed and transmitted to the House of Representatives.","Campaign Contributions, Lobbying/House Ethics Campaign Laws",,Internal Organization,,Miscellaneous Policy,-18.139733843531875,4.033475285713355,0.168,0.986,0.207,0.066,0.583,0.845,-29.154791
2017-01-15 03:24:53,RS1070105,107,Senate,105,2001-05-16,,60,39,"To express the sense of the Senate regarding, and authorize appropriations for, part F of title I of the Elementary and Secondary Education Act of 1965.",Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,31.337047451434778,-7.56857662560152,0.245,0.109,0.298,-0.055,0.872,0.949,-17.480614
2017-01-15 03:24:53,RS1070106,107,Senate,106,2001-05-16,,69,30,To make amendments regarding the Reading First Program.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,9.61979969874376,-3.3793932996816727,0.333,-0.176,0.326,-0.196,0.567,0.869,-22.480944
2017-01-15 03:24:53,RS1070107,107,Senate,107,2001-05-16,,37,62,To modify provisions relating to school construction.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,5.542696452190296,-1.2872202155138954,0.052,-0.999,-0.115,0.12,0.405,0.778,-46.462718
2017-01-15 03:24:53,RS1070108,107,Senate,108,2001-05-16,,49,51,To provide grants for the renovation of schools.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,8.77654991670155,-0.38834744341942246,0.079,0.305,0.695,-0.458,0.98,0.99,-3.047213
2017-01-15 03:24:53,RS1070109,107,Senate,109,2001-05-16,,83,16,To liberalize the tax-exempt financing rules for public school construction.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,5.37056302199805,2.9906667634692496,-0.385,0.923,-0.104,0.112,0.0,0.838,-41.755784
2017-01-15 03:24:53,RS1070110,107,Senate,110,2001-05-17,,34,65,To amend the Individuals with Disabilities Education Act to fully fund 40 percent of the average per pupil expenditure for programs under part B of such Act.,Education,Handicapped,Domestic Social Policy,Budget Special Interest,Social Welfare,6.12106477763624,1.282670595196887,-0.179,0.187,0.254,-0.24,0.618,0.869,-26.899736
2017-01-15 03:24:53,RS1070111,107,Senate,111,2001-05-17,,76,24,To amend the Higher Education Act of 1965 to extend loan forgiveness for certain loans to Head Start teachers.,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,29.969995045835276,-16.13304720089693,0.565,0.8,0.114,-0.022,-0.125,0.73,-49.779369
2017-01-15 03:24:53,RS1070112,107,Senate,112,2001-05-17,,44,56,To accelerate the elimination of the marriage penalty in the standard deduction and 15-percent bracket and to modify the reduction in the marginal rate of tax.,Tax rates,,Budget General Interest,,Government Management,-8.11710029160342,-1.0186895714428377,-0.245,0.97,0.407,0.29,0.841,0.93,-17.764019
