id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1110441,111,Senate,441,2010-03-09,,100,0,"To address availability of information concerning the meetings of the Federal Open Market Committee, and for other purposes.",,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0
RS1110442,111,Senate,442,2010-03-09,,56,45,"To require the Secretary of the Treasury to conduct a study on ending the conservatorship of Fannie Mae and Freddie Mac, and reforming the housing finance system.",Welfare,,Domestic Social Policy,Budget Special Interest,Social Welfare,31.875487409915554,3.7588094640096976,-0.122,-0.13,0.733,-0.133
RS1110443,111,Senate,443,2010-03-09,,66,34,A joint resolution increasing the statutory limit on the public debt.,,,Budget Special Interest,,Government Management,-14.97227681194742,3.3240711682169612,0.286,-0.958,0.321,0.124
RS1110444,111,Senate,444,2010-03-10,,66,33,"To provide for enhanced regulation of, and to establish a term certain for the conservatorships of Fannie Mae and Freddie Mac, to provide conditions for continued operation of such enterprises, to provide for the wind down of such operations and the dissolution of such enterprises, and to address budgetary treatment of such enterprises.",,,Budget Special Interest,,Government Management,-12.85262945435431,3.0600203897585443,0.312,-0.95,0.32,0.144
RS1110445,111,Senate,445,2010-03-10,,63,36,To prohibit certain payments to loan originators and to require verification by lenders of the ability of consumers to repay loans.,,,Budget Special Interest,,Government Management,-15.85157632703698,2.785823589507764,0.237,-0.971,0.296,0.108
RS1110446,111,Senate,446,2010-03-15,,61,30,To provide for a study of the asset-backed securitization process and for residential mortgage underwriting standards.,Public Works,Tax rates,Budget Special Interest,,Government Management,-103.69317834780851,19.342862956170467,0.196,-0.981,0.251,0.014
RS1110447,111,Senate,447,2010-03-16,,68,29,To maintain the role of the Board of Governors as the supervisor of holding companies and State member banks.,,,Budget Special Interest,,Government Management,18.761704215685498,-5.859507053235045,0.321,0.163,0.133,-0.041
RS1110448,111,Senate,448,2010-03-16,,87,11,"To implement regulatory oversight of the swap markets, to improve regulator's access to information about all swaps, to encourage clearing while preventing concentration of inadequately hedged risks in central clearinghouses and ensuring that corporate end users can continue to hedge their unique business risks, and to improve market transparency.",Public Works,,Budget Special Interest,,Government Management,-2.891841627229719,2.446480740953777,0.652,0.561,0.1,0.2
RS1110449,111,Senate,449,2010-03-16,,41,57,"To establish a specific consumer protection liaison for service members and their families, and for other purposes.",,,Budget Special Interest,,Government Management,-3.4749217109277684,-0.1297006520985361,-0.311,0.951,-0.295,-0.491
RS1110450,111,Senate,450,2010-03-16,,42,55,To instruct the Securities and Exchange Commission to establish a self-regulatory organization to assign credit rating agencies to provide initial credit ratings.,Education,,Domestic Social Policy,D. C.,Social Welfare,41.89643723352325,1.6268251819039883,-0.021,0.747,-0.297,0.041
RS1110451,111,Senate,451,2010-03-17,,63,34,To remove statutory references to credit rating agencies.,Public Works,Tax rates,Budget Special Interest,,Government Management,-16.21699422328823,2.87442763091931,0.237,-0.969,0.286,0.102
RS1110452,111,Senate,452,2010-03-17,,69,29,To provide an orderly and transparent bankruptcy process for non-bank financial institutions and prohibit bailout authority.,Public Works,Tax rates,Budget Special Interest,,Government Management,-17.351049763378317,4.72879327262471,0.327,-0.945,0.276,0.092
RS1110453,111,Senate,453,2010-03-17,,99,0,"To ensure that the fees that small businesses and other entities are charged for accepting debit cards are reasonable and proportional to the costs incurred, and to limit payment card networks from imposing anti-competitive restrictions on small businesses and other entities that accept payment cards.",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110454,111,Senate,454,2010-03-18,,56,40,"Ben S. Bernanke, of New Jersey, to be Chairman of the Board of Governors of the Federal Reserve System for a term of four years",,,Budget Special Interest,,Government Management,16.588858946899165,3.7530821219992117,-0.226,0.004,-0.74,0.258
RS1110455,111,Senate,455,2010-03-18,,27,70,To provide for increased Congressional oversight through a sunset of the authority created under title X related to the creation of the Bureau of Consumer Financial Protection.,,,Budget Special Interest,,Government Management,2.276751503342763,0.683638547048727,0.135,0.991,0.124,-0.315
RS1110456,111,Senate,456,2010-03-18,,41,56,"To limit further bailouts of Fannie Mae and Freddie Mac, to enhance the regulation and oversight of such enterprises, and for other purposes.",,,Budget Special Interest,,Government Management,-7.796405027011325,-0.009844458163229874,0.068,-0.54,-0.337,-0.25
RS1110457,111,Senate,457,2010-03-18,,26,70,To protect United States taxpayers from paying for the bailouts of foreign governments.,,,Budget Special Interest,,Government Management,-4.299101456523327,1.222553275739213,0.052,0.999,-0.139,-0.187
RS1110458,111,Senate,458,2010-03-22,,93,0,To prohibit taxpayer bailouts of fiscally irresponsible State and local governments.,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0
RS1110459,111,Senate,459,2010-03-23,,57,39,"To address the applicability of certain State authorities with respect to national banks, and for other purposes.",,,Internal Organization,,Miscellaneous Policy,5.184297506689082,-0.23857685983946203,-0.024,-0.363,0.666,-0.743
RS1110460,111,Senate,460,2010-03-23,,56,40,"To address the applicability and preservation of certain State authorities, and for other purposes.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-38.59294098884753,-1.4017176395539013,-0.04,0.142,0.734,0.11
RS1110461,111,Senate,461,2010-03-24,,56,42,To ban naked credit default swaps and for other purposes.,Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-37.363617484560976,-2.7922713113420734,-0.075,0.01,0.73,0.113
RS1110462,111,Senate,462,2010-03-24,,54,43,"To provide for the independence of Inspectors General of certain designated Federal entities, and for other purposes.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-283.0149005848819,-28.21649005848819,-0.1,0.085,0.734,0.015
RS1110463,111,Senate,463,2010-03-24,,56,43,In the nature of a substitute.,Public Health,Tax rates,Domestic Social Policy,Budget General Interest,Social Welfare,14.248124805693873,1.4286093604270405,-0.075,0.36,0.675,-0.274
